ATR-BASED VOLUME IMBALANCE STRATEGY
Period: Nov 1 2025 - Jan 28 2026 (3 months)

FORMULA:
Reference Candle,Volume >= 3x average of last 5 candles
Day Range Filter,Day Range >= X * ATR (where X is multiplier)
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,1% below entry
Take Profit,4% above entry
Trailing,At +2% SL->BE | At +3% SL->+1%

ATR MULTIPLIER COMPARISON
ATR Mult,Total Setups,Executed Trades,Wins,Locked,Breakeven,Losses,Win Rate,Profit Rate,Final Capital,Return
1,1837,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
1.5,1828,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
2,1814,234,33,21,24,151,14.1%,23.1%,$9.40,-90.6%
2.5,1803,233,33,21,24,150,14.2%,23.2%,$10.45,-89.6%
3,1783,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
3.5,1766,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
4,1752,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%

BEST MULTIPLIER: 2.5x ATR

TRADE DETAILS (Best Multiplier)
Trade,Symbol,Date,Day Range (ATR),Entry Price,Exit Price,Result,P&L %,Capital
180,ETHUSDT,2026-01-05,2.86,3165.7125499999997,3292.3410519999998,WIN_FULL,4.00,103.53
181,DOGEUSDT,2026-01-06,12.84,0.15355339999999998,0.15201786599999997,LOSS,-1.00,93.18
182,NEARUSDT,2026-01-06,8.06,1.803802,1.7857639799999998,LOSS,-1.00,83.86
183,NEARUSDT,2026-01-06,23.76,1.7707689999999998,1.7884766899999998,WIN_LOCKED,1.00,92.24
184,NEARUSDT,2026-01-07,7.56,1.765764,1.765764,BREAKEVEN,0.00,92.24
185,DOGEUSDT,2026-01-07,19.13,0.14796782,0.1464881418,LOSS,-1.00,83.02
186,ETHUSDT,2026-01-07,24.14,3163.16,3131.5283999999997,LOSS,-1.00,74.72
187,DOGEUSDT,2026-01-07,19.07,0.14658643999999998,0.1451205756,LOSS,-1.00,67.25
188,DOGEUSDT,2026-01-08,4.55,0.14713699,0.1456656201,LOSS,-1.00,60.52
189,NEARUSDT,2026-01-08,6.08,1.7187169999999998,1.70152983,LOSS,-1.00,54.47
190,ETHUSDT,2026-01-08,15.73,3115.59248,3084.4365552,LOSS,-1.00,49.02
191,DOGEUSDT,2026-01-08,21.54,0.13986972999999997,0.13986972999999997,BREAKEVEN,0.00,49.02
192,DOGEUSDT,2026-01-09,18.55,0.14037022999999998,0.13896652769999998,LOSS,-1.00,44.12
193,ETHUSDT,2026-01-09,10.43,3091.0579699999994,3060.147390299999,LOSS,-1.00,39.71
194,DOGEUSDT,2026-01-09,15.65,0.14177162999999998,0.14177162999999998,BREAKEVEN,0.00,39.71
195,NEARUSDT,2026-01-09,17.68,1.7107089999999998,1.6936019099999997,LOSS,-1.00,35.74
196,NEARUSDT,2026-01-10,6.59,1.6866849999999998,1.6866849999999998,BREAKEVEN,0.00,35.74
197,ETHUSDT,2026-01-11,4.86,3096.5234299999993,3096.5234299999993,BREAKEVEN,0.00,35.74
