VOLUME IMBALANCE WITH SUPPORT-BASED STOP-LOSS
Period: Dec 1 2025 - Jan 28 2026

STRATEGY RULES
Reference Candle,Volume >= 3x of last 5 candles
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,At consolidation low (support)
Max SL,1.5%
Take Profit,Risk x 4
Trailing,At 2:1 SL->BE | At 3:1 SL->+1:1

TRADE DETAILS
Trade,Symbol,Date,Entry Price,Support (SL),Risk %,TP,Result,P&L %,Capital
169,DOGEUSDT,2026-01-23,0.12624612,0.12468519,1.24,0.13248983999999994,LOSS,-1.24,159.01
170,DOGEUSDT,2026-01-23,0.12485472999999998,0.12402584999999999,0.66,0.12817024999999996,LOSS,-0.66,148.45
171,DOGEUSDT,2026-01-24,0.12458446,0.12420566999999999,0.30,0.12609962,LOSS,-0.30,143.94
172,NEARUSDT,2026-01-24,1.5055039999999997,1.495503,0.66,1.5455079999999985,LOSS,-0.66,134.38
173,DOGEUSDT,2026-01-24,0.12366353999999999,0.12278709,0.71,0.12716933999999994,LOSS,-0.71,124.85
174,ETHUSDT,2026-01-25,2943.53059,2926.26081,0.59,3012.609709999999,LOSS,-0.59,117.53
175,ETHUSDT,2026-01-25,2936.19326,2918.079,0.62,3008.6502999999993,LOSS,-0.62,110.28
176,DOGEUSDT,2026-01-26,0.12089077,0.12016971,0.60,0.12377500999999999,BREAKEVEN,0.00,110.28
177,DOGEUSDT,2026-01-26,0.12106093999999999,0.12032955000000001,0.60,0.12398649999999993,WIN_LOCKED,0.60,116.94
178,NEARUSDT,2026-01-26,1.4634619999999998,1.455543,0.54,1.4951379999999992,LOSS,-0.54,110.61
179,DOGEUSDT,2026-01-26,0.12265252999999998,0.12204783,0.49,0.12507132999999993,LOSS,-0.49,105.16
180,NEARUSDT,2026-01-26,1.460459,1.44855,0.82,1.5080949999999997,LOSS,-0.82,96.58
181,DOGEUSDT,2026-01-27,0.12218206,0.12126861,0.75,0.12583585999999997,WIN_LOCKED,0.75,103.80
182,ETHUSDT,2026-01-27,2995.2622699999997,2974.54248,0.69,3078.1414299999983,BREAKEVEN,0.00,103.80
183,DOGEUSDT,2026-01-28,0.12454441999999999,0.12359628,0.76,0.12833697999999993,OPEN,0.29,106.85

SUMMARY
Total Trades,183
Wins (Full),30
Wins (Locked),16
Breakeven,21
Losses,112
Final Capital,$106.85
Total Return,6.9%
